,City,Latitude,Longitude
888385,awassa,7.05,38.466667
2145510,talisay,10.244379,123.8473
2047054,birganj,27.0,84.8666667
2010307,okrika,4.741589,7.084877
1336118,hindupur,13.828889,77.493333
409293,valdivia,-39.8,-73.233333
1327195,bhuj,23.266667,69.666667
2969686,warren,42.4775,-83.0277778
1334623,gonda,27.133333,81.933333
1070473,san juan sacatepequez,14.718889,-90.644167
1335408,hajipur,25.683333,85.216667
3133493,randfontein,-26.178429,27.690266
1277181,singaraja,-8.1127,115.0949
2921403,orange,33.7877778,-117.8522222
3103731,thai nguyen,21.592778,105.844167
1530154,ebetsu,43.108056,141.550556
1324923,bankura,23.25,87.066667
2799975,inegol,40.078056,29.513333
449978,dali,25.7,100.183333
1000883,slough,51.5,-0.583333
1978506,abakaliki,6.316249,8.116908
1132570,adiwerna,-6.9375,109.1325
1996631,ikirun,7.916667,4.666667
1541776,seto,35.233333,137.1
2466806,nevinnomyssk,44.6333,41.9444
1733789,ajdabiya,30.7591667,20.2230556
1867335,cordoba,18.883333,-96.933333
2132500,montalban,14.7314,121.1417
1864971,chetumal,18.5,-88.3
791874,wurzburg,49.787778,9.936111
2141320,san mateo,14.6982,121.1236
953193,limoges,45.831534,1.257805
1546612,zama,35.488889,139.388611
1104956,cap-haitien,19.7577778,-72.2041667
1146170,baturaja,-4.133333,104.166667
661637,cartago,4.746389,-75.911667
1345331,mandya,12.524167,76.895833
641572,yongan,25.98,117.364167
1329603,chhindwara,22.066667,78.933333
2939544,joliet,41.525,-88.0816667
1811594,henzada,17.6333333,95.4666667
977793,tours,47.394836,0.703977
2691380,moundou,8.5666667,16.0833333
1678610,sur,33.2711111,35.1963889
1354163,robertsonpet,12.966667,78.283333
2921484,palmdale,34.5794444,-118.1155556
1830377,pyay,18.8166667,95.2166667
2919637,fullerton,33.8702778,-117.9244444
2591648,rabak,13.15,32.7333333
1986144,bugama,4.734071,6.863451
3085520,cam pha,21.016667,107.316667
1003166,west bromwich,52.516667,-2.0
2105545,baliuag,14.954722,120.896944
362213,kindu,-2.95,25.95
312678,queimados,-22.722897,-43.556316
408075,osorno,-40.566667,-73.15
1332307,dimapur,25.9,93.733333
2116518,dagupan,16.1,120.516667
2426100,kolpino,59.744167,30.579444
890989,dese,11.133333,39.633333
472468,gejiu,23.306022,103.163512
1344442,mahbubnagar,16.733333,77.983333
1348840,navsari,20.85,72.916667
1533602,joetsu,37.111749,138.268442
1544823,tsuchiura,36.090469,140.210473
315842,sao caetano do sul,-23.6,-46.566667
2315099,baia mare,47.666667,23.583333
582317,shizuishan,39.041944,106.395833
1333526,gandhidham,23.083333,70.133333
2008532,obosi,6.096967,6.818432
1996061,igboho,8.833333,3.75
1810504,dawei,14.0833333,98.2
1991223,funtua,11.523252,7.30813
1339031,kanchrapara,22.97,88.431944
2478761,odintsovo,55.677976,37.277734
479085,hami,42.8,93.45
2919422,escondido,33.1191667,-117.0855556
1048151,iraklion,35.325,25.1305556
2314020,saint-denis,-20.8666667,55.4666667
1690790,negombo,7.2086111,79.8358333
3124481,bisho,-32.847212,27.442179
1150172,bitung,1.4451,125.1824
928874,clermont-ferrand,45.779657,3.086281
294217,castanhal,-1.3,-47.916667
503420,jieshi,22.813377,115.825742
1538116,musashino,35.706111,139.559444
960468,nimes,43.833778,4.359623
842891,dekernes,31.0883333,31.5969444
302192,itu,-23.266667,-47.316667
1058166,peristerion,38.0166667,23.7
859573,cadiz,36.515789,-6.279692
259464,stara zagora,42.4327778,25.6419444
303470,juazeiro,-9.5,-40.5
1069577,petapa,14.502778,-90.551667
209466,pabna,24.0,89.25
309235,parnaiba,-2.909167,-41.774722
1322810,anand,22.566667,72.933333
1359535,tiruvannamalai,12.216667,79.066667
1359006,thanesar,29.983333,76.816667
2122504,kabankalan,9.9902,122.8142
1989596,ejigbo,7.9,4.316667
435973,chaohu,31.6,117.866667
1198965,karang tengah,-6.908611,106.910556
1329993,chitradurga,14.233333,76.4
1904640,salamanca,20.566667,-101.2
468953,fuyu,45.183333,124.816667
916973,amiens,49.9,2.3
1352132,porbandar,21.633333,69.6
160351,townsville,-19.26639,146.805695
988795,brighton,50.833333,-0.15
1307073,weru,-6.711,108.5037
491496,huadian,42.963333,126.747778
